pk,sid,name,access,licence,group_count,individual_count,intervention_count,output_count,timecourse_count,scatter_count,title,pmid,substances
896,PKDB00429,Arnaud1981,public,closed,1,0,4,106,4,0,Theophylline and caffeine metabolism in man,,"caf caffeine caffeine (137x) 137u 137u 1,3,7-trimethyluric acid (137u) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) tp theophylline theophylline (13x) 13u 13u 1,3-dimethyluric acid (13u) tb theobromine theobromine (37x) 37u 37u 3,7-dimethyluric acid (37u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) 3x 3x 3-methylxanthine (3x) 3u 3u 3-methyluric acid (3u) 7x 7x 7-methylxanthine (7x) 7u 7u 7-methyluric acid (7u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) admu admu admu a1u a1u 6-amino-5-(formyl-n-methylamino)-1-methyluracil (a1u) a3u a3u 6-amino-5-(formyl-n-methylamino)-1-methyluracil (a3u)"
899,PKDB00432,Azcona1995,public,closed,1,0,2,84,4,0,Evaluation of the central effects of alcohol and caffeine interaction.,8554942,caf caffeine caffeine (137x) ethanol ethanol ethanol
921,PKDB00440,Bruce1986,public,closed,1,0,2,48,4,0,The psychopharmacological and electrophysiological effects of single doses of caffeine in healthy human subjects.,3741730,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
930,PKDB00446,Chen2009b,public,closed,1,46,2,222,4,0,"Simultaneous action of the flavonoid quercetin on cytochrome P450 (CYP) 1A2, CYP2A6, N-acetyltransferase and xanthine oxidase activity in healthy volunteers.",19215233,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) quercetin quercetin quercetin"
929,PKDB00445,Chen2009,public,closed,1,0,2,100,4,0,Effect of sodium tanshinone II A sulfonate on the activity of CYP1A2 in healthy volunteers.,19534587,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) sodium-tanshinone-2a-sulfonate sodium tanshinone ii a sulfonate sodium tanshinone ii a sulfonate
931,PKDB00447,Chen2010,public,closed,1,56,2,242,4,0,"Plant polyphenol curcumin significantly affects CYP1A2 and CYP2A6 activity in healthy, male Chinese volunteers.",20484172,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu) curcumin curcumin curcumin"
999,PKDB00057,Patwardhan1980,public,closed,4,0,1,83,3,0,Impaired elimination of caffeine by oral contraceptive steroids.,7359014,caf caffeine caffeine (137x)
415,PKDB00224,Prescott1993,public,closed,3,0,2,84,3,0,Impaired absorption of paracetamol in vegetarians.,9114910,apap paracetamol paracetamol apapglu paracetamol glucuronide paracetamol glucuronide apapsul paracetamol sulfate paracetamol sulfate apapcys paracetamol cysteine paracetamol cysteine apapgsh paracetamol glutathione paracetamol glutathione apapmer paracetamol mercapturate paracetamol mercapturate caf caffeine caffeine (137x)
918,PKDB00438,Brazier1980,public,closed,1,4,15,172,3,0,Inhibition by idrocilamide of the disposition of caffeine.,7371698,idrocilamide idrocilamide idrocilamide caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
926,PKDB00016,Carbo1989,public,closed,1,6,3,246,3,0,Effect of quinolones on caffeine disposition.,2920498,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) tp theophylline theophylline (13x) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) pipemidic-acid pipemidic acid pipemidic acid norfloxacin norfloxacin norfloxacin
1022,PKDB00492,Tripathi2015,public,closed,6,42,1,109,3,2,The role of salivary caffeine clearance in the diagnosis of chronic liver disease.,25853045,caf caffeine caffeine (137x)
1005,PKDB00481,Rietveld1984,public,closed,3,27,2,110,3,0,Rapid onset of an increase in caffeine residence time in young women due to oral contraceptive steroids.,6734698,caf caffeine caffeine (137x)
1026,PKDB00383,Wang1985,public,closed,5,0,2,57,3,0,Caffeine elimination: a test of liver function.,4079279,icg indocyanine green indocyanine green caf caffeine caffeine (137x)
967,PKDB00385,Joeres1987,public,closed,3,35,3,135,3,0,Influence of mexiletine on caffeine elimination.,3628469,caf caffeine caffeine (137x) mexiletine mexiletine mexiletine
958,PKDB00459,Hashiguchi1992,public,closed,1,18,2,72,2,2,Diurnal effect on caffeine clearance.,1613129,"caf caffeine caffeine (137x) 17u 17u 1,7-dimethyluric acid (17u) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) afmu afmu 5-acetylamino-6-formylamino-3-methyluracil (afmu)"
894,PKDB00003,Amchin1999,public,closed,1,16,2,100,2,0,Effect of venlafaxine on CYP1A2-dependent pharmacokinetics and metabolism of caffeine.,10073324,"caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x) 17u 17u 1,7-dimethyluric acid (17u) tb theobromine theobromine (37x) 1x 1x 1-methylxanthine (1x) 1u 1u 1-methyluric acid (1u) aamu aamu 5-acetylamino-6-amino-3-methyluracil (aamu) venlafaxine venlafaxine venlafaxine"
370,PKDB00028,Iqbal1995,public,closed,1,0,2,54,2,0,The effect of caffeine on the pharmacokinetics of acetaminophen in man.,7579030,apap paracetamol paracetamol caf caffeine caffeine (137x)
904,PKDB00434,Bchir2006,public,closed,3,0,1,36,2,0,Differences in pharmacokinetic and electroencephalographic responses to caffeine in sleep-sensitive and non-sensitive subjects.,16797457,caf caffeine caffeine (137x)
906,PKDB00435,Becker1984,public,closed,3,0,2,42,2,0,The bronchodilator effects and pharmacokinetics of caffeine in asthma.,6700656,caf caffeine caffeine (137x) tp theophylline theophylline (13x)
1013,PKDB00061,Spigset1999a,public,closed,1,0,1,20,2,0,The paraxanthine:caffeine ratio in serum or in saliva as a measure of CYP1A2 activity: when should the sample be obtained?,10471076,caf caffeine caffeine (137x) px paraxanthine paraxanthine (17x)
892,PKDB00427,Abernethy1985a,public,open,3,197,1,322,2,4,Caffeine disposition in obesity.,4027137,caf caffeine caffeine (137x)
